Requirement ID,Requirement Type,Requirement Kind,Requirement Description,Priority,PR Mappings,Requirement Parent(s),Requirement Children,Requirement CrossLink(s),Requirement Systematic ASIL,Requirement Hardware ASIL,Requirement Systematic SIL,Requirement Hardware SIL,Requirement Status,Evidence,Date Modified,Revision,Ticket Link(s),Verification Link(s),Change Request Link(s),Notes,,,,
MRD-001,Marketing Requirement (MRD),Shall,[Use] Each cluster shall support from 2 to 8 cores ,P0,"IPFEAT-349, IPFEAT-396, IPFEAT-350",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-002,Marketing Requirement (MRD),Shall,[Use] The entire CPU subsystem can support up to 32 core through multi-cluster ,P0,"IPFEAT-330, IPFEAT-267, IPFEAT-349, IPFEAT-396, IPFEAT-350",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-003,Marketing Requirement (MRD),Shall,"[Use] Cluster shall support normal operating mode – Hybrid mode and lock step mode, which can be configured during the boot up. Although by default, Hybrid mode will have lock-step non-core logic to help entire cluster meet ASIL B. However, to improve PPA, it is preferred not to lock-step the entire non-core portion as much as we can ",P0,"IPFEAT-268, IPFEAT-225",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-004,Marketing Requirement (MRD),Shall,,P0,,,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-005,Marketing Requirement (MRD),Shall,[Use] Support hypervisor running different OS’s on different clusters ,P0,Redundant see MRD-045:048,,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-006,Marketing Requirement (MRD),Shall,[Use] Support freedom from interference running different ASIL tasks within one cluster through VM ,P0,"Redundant see Hypervisors, MRD-045:048",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-007,Marketing Requirement (MRD),Shall,"[Perf] The core shall have better performance than A720 when running benchmarks like Dhrystone, Specint, etc.  ",P0,"IPFEAT-220, IPFEAT-253, IPFEAT-273",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-008,Marketing Requirement (MRD),Shall,[Perf] Target process node for SOP:  N5A,P0,IPFEAT-254,,,,,,,,Proposed,,,1.2,,,,,,,,
MRD-009,Marketing Requirement (MRD),Shall,[FuSa] Fulfill ASIL D systemic process and meet ASIL D certification for processes ,P0,"IPFEAT-12, IPFEAT-45, IPFEAT-269, IPFEAT-360, IPFEAT-395",,,,,,,,Proposed,,,1.0,,,,,,,,
MRD-010,Marketing Requirement (MRD),Shall,[FuSa] Fulfill ASIL B hardware metrics and meet ASIL B product certification in hybrid mode ,P0,"IPFEAT-268, IPFEAT-358",,,,,,,,Proposed,,,1.1,,,,,,,,
MRD-011,Marketing Requirement (MRD),Shall,[FuSa] Fulfill ASIL D hardware metrics and meet ASIL D product certification in lock mode ,P0,"IPFEAT-52, IPFEAT-50, IPFEAT-56, IPFEAT-55, IPFEAT-354, IPFEAT-357, IPFEAT-225, IPFEAT-360, IPFEAT-304",,,,,,,,Proposed,,,1.1,,,,1% of 2.25GHz? ,,,,
MRD-012,Marketing Requirement (MRD),Shall,[FuSa] STL shall meet ASIL B requirement ,P0,"IPFEAT-282, IPFEAT-284",,,,,ASIL-B,,,Proposed,,,1.1,,,,,,,,
MRD-013,Marketing Requirement (MRD),Shall,[FuSa] STL shall operate within ___ cycle and provide sufficient coverages with other hardware safety mechanisms ,P0,IPFEAT-283,,,,,,,,Proposed,,,1.1,,,,Good to have ,,,,
MRD-014,Marketing Requirement (MRD),Shall,[FuSa] Firmware and driver shall be developed to meet ASIL B requirement ,P0,IPFEAT-288,,,,,,,,Proposed,,,1.1,,,,,,,,
