Key,Issue Type,Summary,Issue Priority,Status,Updated,Status Update,Description
IPFEAT-11,Story,[MRD] Bosch Timeline,P1_Major,Backlog,4/30/2025,,"Bosch basedie: 
tapeout 2026 Q1

6 months backend (buffered) - 2025Q2 RTL (EA desired, LA required) needed"
IPFEAT-33,IP Feature,[Non-Functional] Overall PPA requirements from Bosch Chiplet (not base die),P0_Showstopper,Under Review,4/28/2025,,"275kDMIPs, 55 SpecInt2k17, 22W (number of cores 10 as POR)

Timeline TBD"
IPFEAT-31,IP Feature,[Non-Functional] Overall PPA requirements from Bosch Base Die,P0_Showstopper,Feature Approved,4/28/2025,,"150kDMIPs

Timeline CY2026 Silicon available"
IPFEAT-9,IP Feature,Alexandria - Architecture Spec,P0_Showstopper,Under Review,4/22/2025,,"Mode support
""P0: “mixed mode” boot time to choose ASIL-D, ASIL-B 
Hybrid Mode to support ASIL-B

Lock Mode to support ASIL-D 

P0: ensure Standard (without any auto mode) Ascalon supports QM
MVP: Splitlock implementation
Architecture Spec
P1: Hybrid"""
IPFEAT-314,IP Engineering Milestone,ALX - P&C,P2_Normal,Draft,6/27/2025,,"# *Plan &* Commit. -- *PDRF for P&C, Plan & Commit Approval*

# *Overall theme is that the execution teams have completed their engineering response to the business ask.  They can commit scope, headcount, and schedule.  POR is set.*
# Final PRD established. *This will need to be done a few weeks before PDRF to allow time for schedule creation.*
# PoR set and aligned with stakeholders.
# Execution plan chalked out and aligned with stakeholders
## Resource scoping done
## Schedule established
## Detailed Cost estimation done.
# Execution Begins post approval from Jim."
IPFEAT-291,IP Engineering Milestone,Beta ALX-X-4c4m,P2_Normal,Draft,6/27/2025,,"PRD [Schedule] Alexandria shall be available for Beta deployment no later than Oct. 30, 2025"
IPFEAT-313,IP Engineering Milestone,CA - ALX-X-4c4m,P2_Normal,Draft,6/27/2025,,"Current Link ([https://docs.google.com/presentation/d/1zTXnvgQxATuAUAWf_sbAgzJMq6RzTXFe3wQYMwfnOII/edit?usp=sharing|https://docs.google.com/presentation/d/1zTXnvgQxATuAUAWf_sbAgzJMq6RzTXFe3wQYMwfnOII/edit?usp=sharing|smart-link] )

# Concept -- *PDRF for CA, Concept Approval*
## *Overall theme is that the business ask is complete*
## Bounding Box aligned between product/arch/execution teams. -- *The bounding box is aligned to complete the business ask within feasibility contraints.  The execution teams do not have to complete their response until plan and commit*
## *MRD Complete*
## Preliminary PRD established.
## Rough cost estimates done.
## *Schedule and preliminary HC profile for the project complete*
## *Legal Compliance --Expectations of export classification, FUSA, FIPs, and other large security aspects known*
## Business Case Presented to Jim for approval."
IPFEAT-293,IP Engineering Milestone,EA ALX-X-4c4m,P2_Normal,Draft,6/27/2025,,"PRD [Schedule] Alexandria shall be available for Early Access (EA) deployment no later than March 30, 2026"
IPFEAT-193,Task,Evaluate FIRRTL/CHISEL datapath in Ascalon D8 implications for Auto,P2_Normal,Done,4/22/2025,,"This item came up in the meeting

[https://tenstorrent.atlassian.net/wiki/spaces/IPM/pages/991821848/2025-3-11+Agenda#Alexandria-(Concept)---%5BinlineCard%5D|https://tenstorrent.atlassian.net/wiki/spaces/IPM/pages/991821848/2025-3-11+Agenda#Alexandria-(Concept)---%5BinlineCard%5D|smart-link] 



Action is to ask [~accountid:712020:bb9b7d89-6caf-4f1d-a396-06c26712e8fa] [~accountid:634d730b76b91b62562b2c8d] to meet and discuss.

FYI [~accountid:712020:a7153c19-8409-477c-9d8f-d068dc855811] "
IPFEAT-294,IP Engineering Milestone,GA ALX-X-4c4m,P2_Normal,Draft,6/27/2025,,"PRD [Schedule] Alexandria shall be available for General Access (GA) deployment no later than TBD, 2026"
IPFEAT-292,IP Engineering Milestone,LA ALX-X-4c4m,P2_Normal,Draft,6/27/2025,,"PRD [Schedule] Alexandria shall be available for Limited Access (LA) deployment no later than Jan. 30, 2026"
IPFEAT-312,IP Engineering Milestone,PCA ALX-X-4c4m,P2_Normal,Committed,6/27/2025,,"# Pre-Concept -- *PDRF for PCA, Pre-Concept Approval*
## Product/IP idea approved by Jim
## *Preliminary business case review & start of MRD*
## *Understanding of export classification, FUSA, FIPs, and other large security aspects*"
IPFEAT-27,IP Feature,PRD    Alexandria shall support data path replication option,P0_Showstopper,Under Review,4/30/2025,,   Alexandria shall support data path replication option
IPFEAT-30,Task,PRD - Deliverables,P0_Showstopper,Backlog,4/30/2025,,"All Ascalon Fixed/Flex Deliverables

Fuctional safety package 

Software test libary (Resiltech)

RTL team - ensure it’s packaged together for delivery"
