Marketing Requirement ID,Requirement Type,Requirement Description,Applicability,Topic,Requirement Hardware ASIL,Priority,Requirement Kind,Requirement CrossLink(s),JIRA Status,JIRA Title Match,Requirement Status,Notes,Requirement Systematic ASIL,Requirement Systematic SIL,Requirement Hardware SIL,Requirement Parent(s),Requirement Children,Evidence,Date Modified,Revision,Ticket Link(s),Verification Link(s),Change Request Link(s)
,Product Requirement (PRD),Alexandria CPU cores shall implement all mandatory extensions as defined by the RVA23 profile. (RVA23U64/RVA23S64 extensions),Functional,ISA Compliance,,P0,Shall,IPFEAT-257,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement writable mtvec (mask = 0xxfffffffffffffffd),Functional,ISA Compliance,,P0,Shall,IPFEAT-319,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement writable misa (mask = 0x341029),Functional,ISA Compliance,,P0,Shall,IPFEAT-318,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement smnpm extension,Functional,ISA Compliance,,P0,Shall,IPFEAT-320,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement smmpm extension,Functional,ISA Compliance,,P0,Shall,IPFEAT-321,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement smstaten extension,Functional,ISA Compliance,,P0,Shall,IPFEAT-322,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement xttzvqdot extension,Functional,ISA Compliance,,P0,Shall,IPFEAT-323,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU cores shall fetch, decode and execute multiple instructions per clock cycle",Functional,Superscalar Execution,,P0,Shall,IPFEAT-324,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall support out-of-order execution with register renaming and speculative execution.,Functional,Superscalar Execution,,P0,Shall,IPFEAT-325,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall support advanced branch prediction.,Functional,Superscalar Execution,,P0,Shall,IPFEAT-326,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall have private L1 Instruction and Data cache,Functional,Memory Subsystem,,P0,Shall,IPFEAT-327,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria clusters shall have shared L2 cache,Functional,Memory Subsystem,,P0,Shall,IPFEAT-391,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria cluster L2 cache shall be NINE of the L1 cache,Functional,Memory Subsystem,,P0,Shall,IPFEAT-392,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria CPU cores shall support Sv39, Sv48 and Sv57 virtual memory with TLBs",Functional,Memory Subsystem,,P0,Shall,IPFEAT-328,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement weak memory ordering model adhering to the RISC-V memory consistency model. (RVWMO),Functional,Memory Subsystem,,P0,Shall,IPFEAT-388,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria cluster L2 cache shall support L2 IO coherence.,Functional,Memory Subsystem,,P0,Shall,IPFEAT-407,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement cache coherence mechanisms for multi-core configurations.,Functional,Memory Subsystem,,P0,Shall,IPFEAT-330,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall support Cache-line lock-out on L1 private cache for each core, L2 TLB for each core and shared cache for the cluster.",Functional,Memory Subsystem,,P0,Shall,IPFEAT-46,Under Review,Match,Deferred,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement a vector processing unit supporting the RISC-V Vector (V) extension.,Functional,Vector Processing Unit,,P0,Shall,IPFEAT-332,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria CPU cores shall implement the RISC-V Advanced Interrupt Architecture (AIA) specification.,Functional,Interrupt Handling,,P0,Shall,IPFEAT-333,Backlog,Match,Proposed,"smaia, ssaia only. MSI shall be supported.",,,,,,,,,,,
